Transaction Date,Posted Date,Amount,Category,Description
Jun 15 2025,Jun 16 2025,398.08,FEES_AND_ADJUSTMENTS,Gym Membership
Jun 16 2025,Jun 17 2025,360.35,HEALTH_AND_WELLNESS,Grocery Store
Jun 17 2025,Jun 17 2025,93.76,GIFTS_AND_DONATIONS,Online Purchase
Jun 18 2025,Jun 20 2025,223.8,PROFESSIONAL_SERVICES,Donation
Jun 19 2025,Jun 19 2025,33.04,FEES_AND_ADJUSTMENTS,Utility Bill
Jun 20 2025,Jun 20 2025,31.62,TRAVEL,Clothing Store
Jun 21 2025,Jun 21 2025,208.09,FOOD_AND_DRINK,Insurance Payment
Jun 22 2025,Jun 22 2025,218.0,PROFESSIONAL_SERVICES,Consulting Fee
Jun 23 2025,Jun 24 2025,100.98,HEALTH_AND_WELLNESS,Mobile Payment
Jun 24 2025,Jun 24 2025,42.26,FEES_AND_ADJUSTMENTS,Mobile Payment
Jun 25 2025,Jun 26 2025,172.31,HEALTH_AND_WELLNESS,Utility Bill
Jun 26 2025,Jun 28 2025,263.11,FEES_AND_ADJUSTMENTS,Grocery Store
Jun 27 2025,Jun 27 2025,164.04,GIFTS_AND_DONATIONS,Grocery Store
Jun 28 2025,Jun 28 2025,80.68,PERSONAL,Electronics Store
Jun 29 2025,Jun 29 2025,171.64,FOOD_AND_DRINK,Electronics Store
Jun 30 2025,Jun 30 2025,350.42,SHOPPING,Electronics Store
Jul 01 2025,Jul 03 2025,43.67,FEES_AND_ADJUSTMENTS,Salon
Jul 02 2025,Jul 02 2025,387.75,ENTERTAINMENT,Coffee Shop
Jul 03 2025,Jul 04 2025,196.83,ENTERTAINMENT,Streaming Service
Jul 04 2025,Jul 04 2025,70.03,TRAVEL,Streaming Service
Jul 05 2025,Jul 06 2025,370.97,HEALTH_AND_WELLNESS,Gas Station
Jul 06 2025,Jul 07 2025,280.15,PERSONAL,Insurance Payment
Jul 07 2025,Jul 07 2025,80.01,ENTERTAINMENT,Utility Bill
Jul 08 2025,Jul 10 2025,295.62,TRAVEL,Clothing Store
Jul 09 2025,Jul 09 2025,24.81,HEALTH_AND_WELLNESS,Pharmacy
Jul 10 2025,Jul 12 2025,67.19,PERSONAL,Restaurant
Jul 11 2025,Jul 11 2025,32.07,SHOPPING,Donation
Jul 12 2025,Jul 13 2025,52.36,PROFESSIONAL_SERVICES,Donation
Jul 13 2025,Jul 15 2025,239.84,PROFESSIONAL_SERVICES,Restaurant
Jul 14 2025,Jul 15 2025,264.66,PROFESSIONAL_SERVICES,Pharmacy
Jul 15 2025,Jul 16 2025,374.21,ENTERTAINMENT,Clothing Store
Jul 16 2025,Jul 16 2025,109.92,BILLS_AND_UTILITIES,Gas Station
Jul 17 2025,Jul 18 2025,129.89,SHOPPING,Online Purchase
Jul 18 2025,Jul 19 2025,250.36,PROFESSIONAL_SERVICES,Grocery Store
Jul 19 2025,Jul 19 2025,217.37,PERSONAL,ATM Withdrawal
Jul 20 2025,Jul 20 2025,373.64,SHOPPING,Donation
Jul 21 2025,Jul 22 2025,117.57,HEALTH_AND_WELLNESS,Salon
Jul 22 2025,Jul 24 2025,124.49,FEES_AND_ADJUSTMENTS,Pharmacy
Jul 23 2025,Jul 23 2025,268.81,PERSONAL,Gas Station
Jul 24 2025,Jul 26 2025,45.92,BILLS_AND_UTILITIES,ATM Withdrawal
Jul 25 2025,Jul 25 2025,356.44,PERSONAL,Subscription Service
Jul 26 2025,Jul 27 2025,116.29,ENTERTAINMENT,Clothing Store
Jul 27 2025,Jul 27 2025,276.56,FOOD_AND_DRINK,Pharmacy
Jul 28 2025,Jul 29 2025,104.19,TRAVEL,Restaurant
Jul 29 2025,Jul 31 2025,172.31,FOOD_AND_DRINK,Utility Bill
Jul 30 2025,Jul 30 2025,136.75,BILLS_AND_UTILITIES,ATM Withdrawal
Jul 31 2025,Jul 31 2025,297.79,PERSONAL,Mobile Payment
Aug 01 2025,Aug 03 2025,8.82,SHOPPING,Subscription Service
Aug 02 2025,Aug 04 2025,19.23,GIFTS_AND_DONATIONS,Consulting Fee
Aug 03 2025,Aug 05 2025,63.5,BILLS_AND_UTILITIES,Utility Bill
Aug 04 2025,Aug 05 2025,149.04,TRAVEL,Gym Membership
Aug 05 2025,Aug 05 2025,274.42,FEES_AND_ADJUSTMENTS,Grocery Store
Aug 06 2025,Aug 07 2025,313.15,GROCERIES,Miscellaneous Charge
Aug 07 2025,Aug 09 2025,66.05,ENTERTAINMENT,Coffee Shop
Aug 08 2025,Aug 08 2025,353.16,TRAVEL,Coffee Shop
